"X";"COUNT";"MATH";"READ";"SCIE";"GLCM";"RCLI";"RCUN";"RCER";"RTSN";"RTML"
"582255";582255;"USA";526,028;667,52;609,9063; ;677,7543;646,8527;669,69;669,8684;659,9376
"582256";582256;"USA";518,2392;503,9582;512,2894; ;457,2229;491,7596;526,3864;497,8768;487,0367
"582257";582257;"USA";520,6251;555,4093;553,7922; ;590,8974;549,3623;588,504;569,459;583,2121
"582258";582258;"USA";461,1116;499,6027;563,3477; ;509,1245;510,4682;504,9285;506,6328;511,1551
"582259";582259;"USA";603,4825;640,7203;602,6516; ;603,8268;647,8076;645,1656;645,7253;621,3019
"582260";582260;"USA";622,7366;712,4854;679,8392; ;680,8522;684,7628;696,0252;687,872;682,0948
"582261";582261;"USA";472,056;520,2075;511,8426; ;540,2898;509,2221;538,5702;513,6438;487,7259
"582262";582262;"USA";315,4973;274,1971;283,8459; ;354,1683;301,9701;292,1348;279,7023;281,6739
"582263";582263;"USA";614,8374;669,948;674,0428; ;659,7882;644,3103;698,5074;682,7444;683,7876
"582264";582264;"USA";360,6897;384,6118;325,8996; ;370,8535;377,5218;401,6741;380,8493;367,3026
"582265";582265;"USA";526,6251;574,2125;540,962; ;586,6138;558,0455;580,011;573,9319;572,0929
"582266";582266;"USA";527,1834;542,8822;590,1627; ;543,6308;548,9641;543,3234;570,058;527,5268
"582267";582267;"USA";501,4529;471,8646;515,3792; ;452,1989;449,2064;477,9381;465,5083;449,9612
"582268";582268;"USA";448,9127;502,3591;499,0054; ;492,997;500,7168;521,3174;487,0133;482,8451
"582269";582269;"USA";426,0539;390,9403;416,0923; ;393,4127;378,6421;411,1901;369,8192;395,8274
"582270";582270;"USA";409,8905;345,2927;374,4578; ;302,0797;305,9836;306,6596;329,9929;302,9775
"582271";582271;"USA";273,5025;254,4299;309,497; ;226,2982;214,8974;231,1418;202,3206;248,5821
"582272";582272;"USA";555,334;588,4602;534,4511; ;603,1365;577,5662;617,7881;564,2829;594,4681
"582273";582273;"USA";376,5137;392,73;410,0537; ;409,0504;389,2613;426,7075;393,4564;392,2076
"582274";582274;"USA";391,3102;424,0362;409,7366; ;433,782;407,1725;419,9861;411,147;415,7667
"582275";582275;"USA";602,5597;625,2018;554,6974; ;676,9449;640,3574;643,521;644,702;627,6366
"582276";582276;"USA";414,5367;444,192;419,429; ;444,1592;435,7961;455,9451;443,1092;444,0125
