"id","estimation_ges","classe_estimation_ges"
10701086,0,"N"
10701102,0,"N"
10701113,0,"N"
10701114,0,"N"
10701138,0,"N"
10701140,0,"N"
10701148,0,"N"
10701151,0,"N"
10701152,33,"D"
10701184,10.79,"B"
10701230,0,"N"
10701277,0,"N"
10701287,0,"A"
10701296,0,"N"
10701307,0,"A"
10701324,0,"A"
10701328,0,"N"
10701336,1,"A"
10701372,1,"A"
10701387,3.87,"A"
10701390,1,"A"
10701391,0,"N"
10701392,0,"N"
10701408,1,"A"
10701417,1,"A"
10701420,0,"N"
10701427,1,"A"
10701433,0,"N"
10701441,2,"A"
10701442,4.38,"B"
10701455,11,"C"
10701465,2,"A"
10701468,0,"N"
10701489,1,"A"
10701490,0,"N"
10701507,0,"A"
10701510,1,"A"
10701520,8.89,"B"
10701523,1,"A"
10701525,0,"N"
10701530,0,"N"
10701546,0,"A"
10701560,0,"A"
10701564,1,"A"
10701571,0,"N"
10701580,1,"A"
10701588,1,"A"
10701602,1,"A"
10701612,1,"A"
10701632,0,"N"
10701636,0,"N"
10701648,0,"N"
10701661,7,"B"
10701670,0.22,"A"
10701671,0,"N"
10701697,0,"N"
10701722,0,"N"
10701796,0,"N"
10701803,29,"C"
10701854,0,"N"
10701857,7,"B"
10701876,21,"B"
10701994,0,"N"
10702042,0,"N"
10702072,12.06,"C"
10702075,0,"N"
10702088,0,"N"
10702142,27.44,"D"
10702188,0,"N"
10702193,0,"N"
10702229,7.66,"N"
10702230,0,"N"
10702234,7.66,"N"
10702237,7.66,"N"
10702267,0,"N"
10702269,0,"N"
10702282,0,"N"
10702300,0,"N"
10702311,0,"N"
10702357,0,"N"
10702360,7,"B"
10702419,3,"A"
10702532,13.11,"C"
10702553,55.19,"C"
10702593,29,"C"
10702602,0,"A"
10702607,0,"N"
10702609,29,"C"
10702631,29,"C"
10702706,10.76,"N"
10702710,10.76,"N"
10702714,10.76,"N"
10702737,0,"N"
10702780,3.67,"A"
10702800,0,"N"
10702809,0,"N"
10702820,0,"N"
10702822,0,"A"
10702909,1.97,"N"
10702945,8.8,"B"
10702989,0,"N"
10703000,0,"N"
10703025,32.7,"D"
10703039,7.2,"B"
10703065,0,"N"
10703107,0,"N"
10703111,0,"N"
10703137,13.89,"N"
10703143,13.89,"N"
10703144,0,"N"
10703155,0,"N"
10703165,22,"C"
10703179,0,"N"
10703182,0,"N"
10703199,0,"N"
10703200,0,"N"
10703202,0,"N"
10703215,0,"N"
10703256,0,"N"
10703259,6.08,"B"
10703273,0,"N"
10703296,0,"N"
10703302,0,"N"
10703322,0,"N"
10703329,0,"N"
10703358,0,"N"
10703360,35,"D"
10703367,0,"N"
10703368,0,"N"
10703373,8,"B"
10703382,0,"N"
10703404,0,"N"
10703426,0,"A"
10703443,61.96,"E"
10703445,0,"N"
10703466,0,"N"
10703472,0,"N"
10703477,0,"N"
10703512,0,"N"
10703526,0,"N"
10703540,0,"N"
10703550,0,"N"
10703557,9.63,"B"
10703646,11.22,"C"
10703669,0,"N"
10703674,0,"N"
10703715,0,"N"
10703757,25,"C"
10703768,0,"N"
10703770,0,"N"
10703778,0,"N"
10703821,0,"N"
10703825,0,"N"
10703834,0,"N"
10703865,0,"N"
10703876,47.77,"E"
10703930,21,"C"
10703977,0,"A"
10703993,0,"N"
10704023,2,"A"
10704026,45,"D"
10704029,0,"N"
10704068,0,"N"
10704085,34,"D"
10704189,0,"N"
10704219,0,"N"
10704248,16,"C"
10704312,0,"N"
10704318,0,"N"
10704329,49,"E"
10704338,19,"C"
10704348,89.47,"E"
10704361,0,"A"
10704381,50.66,"E"
10704489,0,"N"
10704490,50.92,"C"
10704506,27.72,"D"
10704525,29,"D"
10704533,0,"A"
10704535,8,"B"
10704538,0,"A"
10704591,6,"B"
10704600,0,"N"
10704614,0,"N"
10704637,0,"N"
10704641,0,"N"
10704673,0,"N"
10704679,0,"N"
10704683,0,"N"
10704699,0,"N"
10704706,3.33,"A"
10704739,4,"A"
10704753,0,"N"
10704771,0,"N"
10704821,0,"N"
10704826,0,"N"
10704837,7.85,"B"
10704852,6,"B"
10704874,0,"N"
10704950,0,"N"
10704959,0,"N"
10704961,0,"N"
10705003,0,"N"
10705013,18,"C"
10705141,12,"B"
10705171,0,"N"
10705284,0,"N"
10705433,0,"N"
10705476,26,"C"
10705508,7.56,"B"
10705553,0,"N"
10705562,40,"C"
10705582,0,"N"
10705615,0,"N"
10705625,0,"N"
10705649,0,"N"
10705667,0,"N"
10705675,0,"N"
10705724,0,"N"
10705728,0,"N"
10705851,7,"B"
10705852,105.11,"G"
10705865,5,"B"
10705893,96,"G"
10705935,8.09,"B"
10705971,5.88,"A"
10705974,8.09,"B"
10705988,17,"C"
10706093,15,"C"
10706113,0,"N"
10706174,0,"N"
10706182,0,"N"
10706209,0,"N"
10706233,0,"N"
10706247,0,"N"
10706271,0,"A"
10706282,0,"N"
10706295,0,"N"
10706302,21,"B"
10706326,0,"N"
10706358,0,"N"
10706365,11,"C"
10706369,33.86,"D"
10706383,0,"N"
10706396,2,"A"
10706406,0,"N"
10706436,0,"N"
10706447,0,"N"
10706467,4,"B"
10706487,4,"B"
10706502,12,"C"
10706509,0,"N"
10706540,13,"B"
10706543,7.12,"B"
10706558,0,"N"
10706600,79.73,"E"
10706642,5,"B"
10706667,0,"N"
10706674,5,"B"
10706679,0,"N"
10706687,5,"B"
