"id","date_etablissement_dpe","consommation_energie","classe_consommation_energie","secteur_activite","annee_construction","surface_habitable","commune"
10677427,2021-01-05,1476,"G","Autres (théâtres, salles de sport, restaurati",1,"189.53","SEYCHES"
10677446,2021-01-05,0,"N","Autres (théâtres, salles de sport, restaurati",1947,"93.50","ST MARCELLIN EN FOREZ"
10677468,2021-01-05,50.28,"B","\N",2005,"2200.00","SAINT BARTHELEMY D ANJOU"
10677476,2021-01-05,0,"N","Centres Commerciaux",1,"1338.70","CHAMPNIERS"
10677576,2021-01-05,0,"N","Bureau, Administration, Enseignement",1,"105.60","BRUGES"
10677603,2021-01-05,0,"N","\N",2006,"106.28","COLMAR"
10677717,2021-01-05,211.24,"D","\N",1947,"16.39","SAINT-JEANNET"
10677741,2021-01-05,1015,"G","Autres (théâtres, salles de sport, restaurati",1947,"1731.40","CARBON BLANC"
10677780,2021-01-05,0,"N","\N",1947,"47.32","CHALONS EN CHAMPAGNE"
10677806,2021-01-05,0,"N","Autres (théâtres, salles de sport, restaurati",1947,"135.30","FRANCONVILLE"
10677841,2021-01-05,106,"B","Bureau, Administration, Enseignement",1,"98.98","Montereau-Fault-Yonne"
10677851,2021-01-05,103.31,"C","Commerce",1970,"0.00","SANTA-LUCIA-DI-MORIANI"
10677877,2021-01-05,0,"N","Commerce",1974,"\N","LEVALLOIS PERRET"
10677890,2021-01-05,0,"N","Bureaux",2018,"0.00","ZONZA"
10677897,2021-01-05,0,"N","\N",2000,"357.50","ÉMERAINVILLE"
10677907,2021-01-05,0,"N","Autres",1974,"0.00","SÈTE"
10677974,2021-01-05,0,"N","\N",1988,"1323.30","PUTEAUX"
10678003,2021-01-05,191.6,"D","Autres",2007,"0.00","BEAUCOUZÉ"
10678082,2021-01-05,0,"N","Autres (théâtres, salles de sport, restaurati",1947,"47.97","ST CHRISTOPHE EN BRIONNAIS"
10678144,2021-01-05,0,"A","",1948,"160.00","LYON"
10678151,2021-01-04,0,"N","Autres (théâtres, salles de sport, restaurati",1,"157.30","PLAN D ORGON"
10678152,2021-01-05,0,"N","Bureau, Administration, Enseignement",1,"72.83","Montereau-Fault-Yonne"
10678183,2021-01-05,0,"N","Autres (théâtres, salles de sport, restaurati",1947,"43.87","DIJON"
10678201,2021-01-05,0,"N","\N",1974,"45.10","RETHEL"
10678212,2021-01-05,0,"N","Commerce",1974,"0.00","VILLEURBANNE"
10678239,2021-01-05,0,"N","Autres (théâtres, salles de sport, restaurati",1947,"148.94","ST GOBAIN"
10678244,2021-01-05,44,"A","Bureau, Administration, Enseignement",1,"55.00","STE GEMMES SUR LOIRE"
10678261,2021-01-05,0,"N","bar, restaurant",1948,"\N","TOURS"
10678287,2021-01-05,215.84,"D","Commerce",1949,"0.00","BAYONNE"
10678321,2021-01-05,0,"N","Autres (théâtres, salles de sport, restaurati",1947,"70.40","GOND PONTOUVRE"
10678500,2021-01-05,0,"N","Bureau, Administration, Enseignement",1947,"497.20","Bordeaux"
