"X";"COUNT";"MATH";"READ";"SCIE";"GLCM";"RCLI";"RCUN";"RCER";"RTSN";"RTML"
"180173";180173;"FRA";449,4943;501,1815;455,6467; ;521,501;487,0048;497,905;506,5315;493,3179
"180174";180174;"FRA";490,136;440,6083;473,98; ;390,731;424,8488;446,6692;415,7881;445,5699
"180175";180175;"FRA";555,499;588,125;545,858; ;611,3612;569,9836;579,964;581,8621;594,7049
"180176";180176;"FRA";265,2426;270,9612;272,2582; ;269,5111;237,2428;274,8255;261,5739;262,5964
"180177";180177;"FRA";586,0832;589,7874;597,737; ;580,9798;606,1603;556,8091;588,2746;570,213
"180178";180178;"FRA";536,7892;617,9655;555,6643; ;605,5265;602,5427;595,5192;641,0306;598,021
"180179";180179;"FRA";461,4262;458,1708;527,0573; ;462,3126;499,3472;471,2095;513,26;493,1375
"180180";180180;"FRA";471,7352;406,4051;498,3017; ;431,4465;400,6327;408,1926;424,6655;412,5329
"180181";180181;"FRA";594,6145;588,9635;569,667; ;595,0401;581,1613;609,461;570,1981;593,0364
"180182";180182;"FRA";471,4791;438,4666;449,6586; ;481,6528;429,3863;405,7854;425,7056;457,5244
"180183";180183;"FRA";498,6696;452,3236;474,2239; ;461,1777;433,1256;431,4092;438,5253;442,2478
"180184";180184;"FRA";367,3102;390,0079;392,8382; ;355,6879;354,5431;341,707;368,1791;365,4721
"180185";180185;"FRA";476,6257;479,9269;531,9598; ;466,8732;481,883;462,8512;451,7351;450,6728
"180186";180186;"FRA";587,5542;578,4893;611,2625; ;607,3593;584,0337;574,5516;586,7382;602,0524
"180187";180187;"FRA";468,0322;428,4038;482,2521; ;456,205;433,1427;453,0205;433,5311;439,2029
"180188";180188;"FRA";346,0133;407,8676;301,0211; ;442,777;398,4648;382,7883;397,4276;414,7697
"180189";180189;"FRA";555,9406;527,9544;529,897; ;527,1685;534,8844;514,8775;530,429;546,9576
"180190";180190;"FRA";542,2904;558,9746;544,2514; ;640,0976;582,6624;586,8941;564,8859;554,7542
"180191";180191;"FRA";639,8703;692,7812;652,1311; ;654,9307;688,062;688,9471;685,3657;680,8439
"180192";180192;"FRA";582,4602;582,785;563,2893; ;568,8133;577,0487;569,937;572,7481;523,1063
"180193";180193;"FRA";410,2514;451,5871;377,7459; ;469,0656;458,7387;447,9038;444,4465;450,3533
"180194";180194;"FRA";597,3174;603,0858;578,2348; ;595,8835;580,2141;605,0336;587,9098;588,5724
"180195";180195;"FRA";468,2258;464,3902;456,1034; ;505,483;447,196;470,1973;458,5854;475,6109
"180196";180196;"FRA";394,1892;393,17;428,1281; ;414,7184;383,7725;401,9479;395,5929;387,8075
"180197";180197;"FRA";292,597;266,7514;262,6642; ;276,4603;239,5134;257,0229;234,9575;275,0958
"180198";180198;"FRA";451,8448;491,5761;490,3337; ;463,3658;506,0064;484,5732;470,5314;467,755
"180199";180199;"FRA";527,6012;578,0762;533,4556; ;568,1511;611,2168;564,9045;578,1649;566,7732
"180200";180200;"FRA";481,3533;510,8491;511,1391; ;520,8509;496,3699;517,9277;518,5914;481,7869
"180201";180201;"FRA";531,1478;599,906;600,4262; ;602,7119;586,8444;547,1415;601,1649;590,0532
"180202";180202;"FRA";385,0903;358,9341;369,5047; ;340,3908;354,5978;362,8019;332,3422;361,8001
"180203";180203;"FRA";583,3186;585,9445;603,5658; ;569,1325;571,1535;573,7414;560,5873;610,7513
"180204";180204;"FRA";478,0817;459,6576;444,2799; ;472,6908;450,6529;451,2701;437,5119;462,4196
"180205";180205;"FRA";618,621;594,1779;655,1075; ;642,9066;637,9924;661,1586;594,4447;641,5753
"180206";180206;"FRA";331,4036;261,2355;313,5029; ;269,4688;285,7696;276,237;285,0244;284,1669
"180207";180207;"FRA";421,3926;337,1428;432,3484; ;356,8133;368,5738;398,1532;345,9653;370,0585
"180208";180208;"FRA";503,0311;554,7999;436,0511; ;572,5004;576,8474;543,941;582,3792;572,6105
"180209";180209;"FRA";644,329;663,7262;648,4712; ;653,1614;630,1899;616,3334;632,4491;666,9591
"180210";180210;"FRA";402,6818;374,395;339,8244; ;343,1718;400,5354;384,5859;402,0398;371,6813
"180211";180211;"FRA";497,2767;450,9465;494,4767; ;466,7615;432,5058;476,8617;439,719;465,4709
"180212";180212;"FRA";538,8677;548,1132;498,6364; ;577,7497;537,228;552,9062;559,4721;573,1756
"180213";180213;"FRA";477,0307;450,2369;464,4231; ;469,8357;423,4118;439,5908;422,1638;461,435
"180214";180214;"FRA";430,2241;489,2112;430,713; ;491,8932;505,7841;478,2724;501,4667;467,9582
"180215";180215;"FRA";415,3478;450,8719;413,1713; ;456,7276;452,6039;422,4769;431,662;459,4831
"180216";180216;"FRA";563,4267;567,074;577,7322; ;573,7454;559,2476;574,0426;583,9944;607,7984
"180217";180217;"FRA";376,0413;401,9439;410,3674; ;358,2457;407,6709;391,5724;398,986;394,5167
"180218";180218;"FRA";558,7097;509,814;558,9638; ;491,3527;488,4541;493,1105;501,8306;499,0761
"180219";180219;"FRA";453,5891;413,001;394,3532; ;424,4843;433,3195;489,018;423,9517;428,3401
"180220";180220;"FRA";656,3892;660,7666;636,4685; ;689,0213;672,4791;665,9517;640,4328;648,6864
"180221";180221;"FRA";552,7019;512,9963;502,0149; ;492,6725;499,4389;534,5473;487,9875;538,6139
"180222";180222;"FRA";550,9828;503,9473;592,8042; ;514,7106;487,327;490,1819;503,4643;501,5103
"180223";180223;"FRA";444,3571;420,9713;361,3908; ;435,7126;427,9281;422,6033;409,2583;456,6041
"180224";180224;"FRA";420,2113;393,6841;431,6417; ;382,7409;388,6886;405,8954;374,1632;384,1253
"180225";180225;"FRA";499,1147;496,1164;493,3657; ;474,735;481,5173;486,7961;491,6489;483,5862
"180226";180226;"FRA";367,3807;271,6491;308,9692; ;195,1057;249,3595;244,4365;238,4007;243,7531
"180227";180227;"FRA";338,27;355,3155;377,3102; ;344,975;345,7398;363,31;328,8079;330,8651
"180228";180228;"FRA";553,9159;655,6087;604,8135; ;673,7336;640,6332;627,4342;641,7964;656,8771
"180229";180229;"FRA";524,6828;507,0205;529,0073; ;524,1527;504,9539;492,96;468,3639;493,925
"180230";180230;"FRA";500,9201;447,9132;424,469; ;457,5007;446,2726;430,9032;389,5413;437,3981
"180231";180231;"FRA";433,7584;435,2616;428,5479; ;449,235;439,3667;426,7114;435,4337;458,3271
"180232";180232;"FRA";548,0048;567,8467;555,6342; ;611,7978;598,522;583,568;565,9121;557,5374
"180233";180233;"FRA";318,3344;319,2842;330,2127; ;330,6799;290,1462;283,5755;303,8704;300,2793
"180234";180234;"FRA";615,751;543,2872;540,1992; ;565,8689;554,3253;543,4796;530,6038;545,6445
"180235";180235;"FRA";474,5089;403,0062;481,088; ;438,8128;420,7965;438,8127;423,1729;438,0995
"180236";180236;"FRA";552,0621;512,0055;558,1843; ;514,1749;512,5824;487,5613;523,1453;495,3901
"180237";180237;"FRA";351,0193;349,0275;331,1094; ;362,6711;351,737;342,1855;333,156;370,7887
"180238";180238;"FRA";472,8882;413,198;450,1759; ;394,1475;406,1202;390,0869;382,3249;431,2888
"180239";180239;"FRA";512,763;513,1284;545,4498; ;534,2362;510,7358;531,6746;518,5281;525,4248
"180240";180240;"FRA";559,6604;580,6831;568,3669; ;548,1359;566,8517;560,3412;573,0494;577,1525
"180241";180241;"FRA";336,5074;375,8448;364,0307; ;329,1934;364,7142;347,2743;349,1742;359,8206
"180242";180242;"FRA";548,7692;534,7079;460,2696; ;540,1627;538,5998;512,6989;522,1027;553,0726
"180243";180243;"FRA";492,2256;427,4012;448,6237; ;459,4434;434,1661;423,0998;433,1997;434,3035
"180244";180244;"FRA";381,1335;395,9099;383,4284; ;380,8277;399,8132;382,6064;384,2194;386,5277
"180245";180245;"FRA";468,0669;407,6701;379,5107; ;444,5943;411,5094;384,0537;408,3569;425,794
"180246";180246;"FRA";549,6326;573,6008;630,4497; ;588,7674;587,2405;560,0251;561,5222;602,8939
"180247";180247;"FRA";426,0605;422,4415;380,0292; ;386,3556;416,4702;437,7376;396,9943;421,3433
"180248";180248;"FRA";478,0724;457,0582;477,5432; ;428,0375;449,8808;448,3277;442,857;463,8611
"180249";180249;"FRA";610,7315;641,9097;629,6982; ;638,2064;623,9555;634,3005;659,8705;626,946
